 latitude longitude depth year month day hour minute second magnitude
 31.951317  104.344053    14.802   2008  5 15  5 27 50.240 5.0 
 32.275759  104.912650    18.262   2008  5 15  5 35 36.070 3.7 
 30.965097  103.261505    16.296   2008  5 15  6 30 56.340 3.6 
 31.373534  103.315963    14.561   2008  5 15  6 53 32.490 2.3 
 31.522716  104.063607    13.704   2008  5 15  7 44 16.540 3.2 
 30.868952  103.218423    17.438   2008  5 15  7 47 41.410 4.1 
 31.514456  103.092771    14.786   2008  5 15  7 58  6.140 2.8 
 30.832211  103.261118    12.657   2008  5 15  8  1 18.860 3.7 
 30.919845  103.428138    19.036   2008  5 15  8 13 17.560 3.6 
 32.082895  104.595195    16.527   2008  5 15  8 28 10.910 3.7 
 31.222248  103.599514    15.499   2008  5 15  8 31 29.280 4.1 
 31.148073  103.599465    21.323   2008  5 15  8 37 56.140 3.1 
 30.978920  103.400343    15.581   2008  5 15  8 44 47.980 3.5 
 30.932740  103.356409    14.157   2008  5 15  9 40 42.090 3.4 
 32.782613  105.695232    13.767   2008  5 15  9 58 24.540 3.9 
 31.515230  104.076547    16.808   2008  5 15 10 24 18.060 3.1 
 31.507715  104.087636    17.072   2008  5 15 10 24 18.150 3.1 
 31.406620  103.863524    15.151   2008  5 15 10 32 31.720 3.8 
 31.384560  103.890983    18.607   2008  5 15 10 32 31.920 3.7 
 31.168386  103.688549    16.504   2008  5 15 10 34 54.880 3.6 
 31.174443  103.700985    17.424   2008  5 15 10 34 54.860 3.6 
 32.534384  105.213613    17.871   2008  5 15 10 44 48.120 4.0 
 32.203298  104.949150    15.486   2008  5 15 11  0 52.590 3.1 
 32.492475  105.200892    19.450   2008  5 15 11  2 31.190 2.7 
 32.740659  105.466288     9.984   2008  5 15 11  5 24.700 2.5 
 31.589900  103.695032    94.755   2008  5 15 11  6 38.990 2.1 
 30.830538  103.256566    12.626   2008  5 15 11  9  0.320 2.2 
 31.039950  103.409904    10.064   2008  5 15 11 10 32.710 2.7 
 31.857052  104.387316    12.864   2008  5 15 11 11 46.940 3.7 
 32.257039  104.976046    18.064   2008  5 15 11 15 40.470 3.1 
 30.874365  103.233528    17.615   2008  5 15 11 19 11.070 3.1 
 32.518947  105.175391     9.331   2008  5 15 11 20 32.420 3.0 
 30.970817  103.370984    15.831   2008  5 15 11 24 43.210 3.0 
 31.197235  103.532860    14.816   2008  5 15 11 29 45.720 3.2 
 32.517092  105.236828     8.594   2008  5 15 11 33 24.870 2.1 
 32.142425  104.567123    14.746   2008  5 15 11 35 40.320 2.5 
 31.428409  103.990419    21.566   2008  5 15 11 38 38.630 2.7 
 30.974776  103.337881    12.777   2008  5 15 11 44 34.100 2.9 
 31.220445  103.456279    18.991   2008  5 15 11 47 56.850 3.5 
 31.220992  103.463145    19.646   2008  5 15 11 47 56.800 3.5 
 31.422218  103.961224    19.130   2008  5 15 11 49 39.100 3.9 
 31.414360  103.960837    16.941   2008  5 15 11 49 38.970 4.1 
 31.567230  104.059631    15.965   2008  5 15 11 53 47.300 2.3 
 31.387534  103.817805    18.407   2008  5 15 12 10 26.640 4.7 
 31.276863  103.635592     8.135   2008  5 15 13 20 25.310 4.2 
 32.224528  104.861541    19.036   2008  5 15 13 54 47.900 3.9 
 30.931785  103.230889    18.601   2008  5 15 14  8  9.750 2.3 
 31.277776  103.572269    17.084   2008  5 15 14 18 41.320 3.5 
 31.567553  104.008504    20.321   2008  5 15 14 38 37.110 3.0 
 31.285073  103.586387    15.119   2008  5 15 15 35 22.720 2.7 
 31.817441  104.281782    16.783   2008  5 15 15 37 10.610 2.7 
 31.124172  103.302734    15.658   2008  5 15 15 41 13.720 2.4 
 31.231237  103.592494    16.663   2008  5 15 15 56 39.380 2.1 
 32.623193  105.414773    16.389   2008  5 15 15 58  1.970 2.5 
 30.903718  103.426307    16.523   2008  5 15 15 59 29.270 2.4 
 32.507260  105.222187    17.103   2008  5 15 16  6 58.750 4.3 
 31.007271  103.249343     8.228   2008  5 15 16 27 33.440 2.8 
 31.013032  103.249556    11.283   2008  5 15 16 27 33.600 3.4 
 31.067523  103.412752     3.063   2008  5 15 16 45 28.590 2.6 
 31.788597  104.211744    16.666   2008  5 15 16 58 51.910 2.8 
 32.344628  105.033991    14.869   2008  5 15 17 19 43.090 3.2 
 31.322826  103.599808    16.327   2008  5 15 17 30 50.730 2.6 
 32.149103  104.676452    13.987   2008  5 15 17 54 12.620 3.8 
 31.836148  104.235700    16.317   2008  5 15 18  5 24.550 4.3 
 31.855365  104.236147    17.588   2008  5 15 18  5 24.260 2.5 
 31.854196  104.231311    17.293   2008  5 15 18  5 24.300 4.3 
 31.641995  104.098076    17.005   2008  5 15 19  3 16.620 2.5 
 31.230526  103.599757    16.302   2008  5 15 19 13 42.780 3.5 
 30.877294  103.351660    14.282   2008  5 15 19 41  4.590 2.9 
 31.854142  104.287225    11.267   2008  5 15 20 25 21.490 2.9 
 30.760498  103.315153    13.217   2008  5 15 20 35 42.820 3.0 
 32.216918  104.184718    12.613   2008  5 15 20 49 13.120 3.1 
 31.227703  103.609637    20.353   2008  5 15 21 29  4.290 3.5 
 32.241612  104.667804    14.842   2008  5 15 21 55 50.020 4.8 
 32.223894  104.957140    16.972   2008  5 15 22  2 35.840 4.3 
 32.227098  104.960518    18.507   2008  5 15 22  2 35.930 4.2 
 32.158903  104.745066    14.231   2008  5 15 22  7 24.640 3.7 
 31.332874  103.945291    17.394   2008  5 15 22 10 37.330 4.8 
 31.330396  103.456632    10.404   2008  5 15 22 19 24.140 2.3 
 31.791494  104.270135    11.749   2008  5 15 22 20  3.700 2.5 
 31.434523  104.087659    19.485   2008  5 15 22 22 40.860 2.3 
 31.463741  104.108918    21.016   2008  5 15 22 26  0.610 2.7 
 31.120665  103.687570    20.301   2008  5 15 22 30  6.730 3.4 
 31.878155  104.390183    12.556   2008  5 15 22 34 34.180 4.6 
 31.863328  104.378624    11.949   2008  5 15 22 34 34.040 4.5 
 31.909677  104.313271    15.020   2008  5 15 22 37 53.150 3.4 
 31.068585  103.665804    20.382   2008  5 15 22 41 50.200 2.6 
 31.742580  104.236272    10.622   2008  5 15 22 42 10.580 3.3 
 31.268003  103.413858    18.247   2008  5 15 22 47 42.480 4.1 
 31.283186  103.420587    17.353   2008  5 15 22 47 42.390 4.1 
 31.147854  103.470602    18.243   2008  5 15 22 54 59.940 2.7 
 30.984268  103.227705    13.014   2008  5 15 23 21 43.730 3.4 
 31.302885  103.689888    26.531   2008  5 15 23 47  1.030 3.4 
 32.013720  104.534111    11.689   2008  5 16  0 35 54.490 3.0 
 32.464621  105.170319     7.612   2008  5 16  1  9  1.830 2.8 
 31.724912  104.183553     9.874   2008  5 16  1 15 35.090 3.9 
 31.181934  103.637178    18.808   2008  5 16  1 16 23.230 4.2 
 31.488760  104.013150    18.017   2008  5 16  2  2  3.120 3.1 
 31.813239  104.295990    17.023   2008  5 16  2  8 31.280 2.4 
 31.695214  104.147287     7.369   2008  5 16  2  9 53.490 3.3 
 32.213511  105.142813    47.627   2008  5 16  2 11 37.800 3.7 
 31.668668  104.252268    13.504   2008  5 16  2 13  7.580 3.1 
 32.296862  104.955877    15.626   2008  5 16  2 17 49.360 2.6 
 31.135396  103.581839    16.095   2008  5 16  2 21 49.290 3.2 
